# Shakespearean character names with metrical stress as the verse uses them.
# name<TAB>stress options ('1' stressed, '0' unstressed; '|' separates variants,
# e.g. Romeo is usually three syllables but often two).  Wins over CMUdict.
Aaron	10
Abergavenny	00100
Abhorson	010
Abraham	100
Achilles	010
Adam	10
Adrian	100|10
Adriana	0010
Aegeon	100|10
Aemelia	010
Aemilius	0100|010
Aeneas	010
Agamemnon	0010
Agrippa	010
Ajax	10
Albany	100
Alcibiades	00100
Alencon	010|100
Alexander	0010
Alexas	010
Alice	10
Alonso	010
Amiens	10
Andromache	0100
Angelo	100
Angus	10
Anne	1
Antigonus	0100
Antiochus	0100
Antipholus	0100
Antonio	0100|010
Antony	100|10
Apemantus	0010
Apothecary	01000
Archidamus	0010
Ariel	100|10
Armado	010
Arragon	100
Artemidorus	00100
Arthur	10
Arviragus	0100
Audrey	10
Aufidius	0100
Aumerle	01
Autolycus	0100
Bagot	10
Balthasar	100
Banquo	10
Baptista	010
Bardolph	10
Barnardine	100
Bassanio	0100|010
Bassianus	0010
Bastard	10
Bates	1
Beatrice	100|10
Bedford	10
Belarius	0100
Belch	1
Benedick	100
Benvolio	0100|010
Berowne	01
Bertram	10
Bianca	010
Biondello	010
Blanch	1
Blunt	1
Bolingbroke	100
Bona	10
Borachio	0100|010
Bottom	10
Boult	1
Bourbon	10
Boyet	01
Brabantio	0100|010
Brakenbury	1000|100
Brandon	10
Brutus	10
Buckingham	100
Bullcalf	10
Burgundy	100
Bushy	10
Butts	1
Cade	1
Caesar	10
Caithness	10
Caius	10
Calchas	10
Caliban	100
Calpurnia	010
Cambridge	10
Camillo	010
Canidius	0100
Canterbury	1000|100
Caphis	10
Capucius	0100
Capulet	100
Carlisle	01
Casca	10
Cassandra	010
Cassio	100|10
Cassius	100|10
Catesby	10
Cato	10
Celia	10
Ceres	10
Cerimon	100
Charles	1
Charmian	10
Chatillon	100|010
Chiron	10
Christopher	100
Cicero	100
Cimber	10
Cinna	10
Clarence	10
Claudio	100|10
Claudius	100|10
Cleomenes	0100
Cleon	10
Cleopatra	0010
Clifford	10
Clitus	10
Cloten	10
Cobweb	10
Colevile	100
Cominius	0100
Conrade	10
Constance	10
Cordelia	010
Corin	10
Coriolanus	00100
Cornelius	0100
Cornwall	10
Costard	10
Cranmer	10
Cressida	100
Cromwell	10
Cupid	10
Curan	10
Curio	100
Curtis	10
Cymbeline	100
Dardanius	0100
Decius	10
Deiphobus	0100
Demetrius	0100
Dennis	10
Denny	10
Dercetas	100
Desdemona	0010|010
Diana	010
Diomedes	0010
Dion	10
Dionyza	0010
Dogberry	100
Dolabella	0010
Donalbain	100
Dorcas	10
Dorset	10
Douglas	10
Dromio	100|10
Dull	1
Dumain	01
Duncan	10
Edgar	10
Edmund	10
Edward	10
Egeus	10
Eglamour	100
Egypt	10
Eleanor	100
Elbow	10
Elinor	100
Elizabeth	0100
Emilia	010
Enobarbus	0010
Eros	10
Erpingham	100
Escalus	100
Escanes	100
Euphronius	0100
Evans	10
Exeter	100
Exton	10
Fabian	100
Falstaff	10
Fastolfe	10
Faulconbridge	100
Feeble	10
Fenton	10
Ferdinand	100
Feste	10
Fitzwater	010
Flaminius	0100
Flavius	100
Fleance	10
Florizel	100
Fluellen	010
Flute	1
Fool	1
Ford	1
Fortinbras	100
France	1
Francis	10
Francisca	010
Francisco	010
Frederick	100
Froth	1
Gadshill	10
Gallus	10
Gardiner	100
Gargrave	10
Gaunt	1
George	1
Gertrude	10
Glansdale	10
Glendower	100|10
Gloucester	10
Gobbo	10
Goneril	100
Gonzalo	010
Gower	10
Gratiano	0100|010
Green	1
Gregory	100
Gremio	100
Griffith	10
Grumio	100
Guiderius	0100
Guildenstern	100
Guildford	10
Hal	1
Hamlet	10
Harry	10
Hastings	10
Hecate	10
Hector	10
Helen	10
Helena	100
Helenus	100
Helicanus	0010
Henry	10
Herbert	10
Hereford	100|10
Hermia	100
Hermione	0100
